Train No.,From,To,Train Name
12817/12818,"Hatia (via Bokaro) Anand Vihar (T) Jharkhand Swarna Jayanti 41 12949/12950 Porbandar Santragachi Kavi Guru 34,76,87",,
12819/12820,New Delhi Bhubaneswar Orissa Sampark Kranti 32 12951/12952 Mumbai Central New Delhi Mumbai Rajdhani 3,,
12821/12822,Howrah Puri Dhauli 7 12953/12954 Mumbai Central Nizamuddin August Kranti Rajdhani 3,,
12823/12824,"Durg Nizamuddin Chattisgarh 32,81 12955/12956 Mumbai Central Jaipur 3",,
12825/12826,Ranchi (via Bokaro) New Delhi Jharkhand 41 12959/12960 Dadar Bhuj 11,,
12827/12828,Howrah Purulia 87 12963/12964 Nizamuddin Udaipur City Mewar 3,,
12829/12830,"Chennai Bhubaneswar 7 12967/12968 Chennai Jaipur 3,8",,
12831/12832,"Dhanbad Bhubaneswar Garib Rath 40, 78 12969/12970 Coimbatore Jaipur 3,8,86",,
12833/12834,Ahmedabad Howrah 34 12971/12972 Bandra (T) Bhavnagar 11,,
12835/12836,"Hatia Yesvantpur 20,40 12973/12974 Indore Jaipur 3",,
12837/12838,"Howrah Puri 7 12975/12976 Mysore Jaipur 3,9,52",,
12839/12840,"Howrah Chennai Mail 7 12977/12978 Ernakulam Ajmer Marusagar 3,26",,
12841/12842,Howrah Chennai Coromandel 7 12979/12980 Bandra (T) Jaipur 3,,
12843/12844,"Puri Ahmedabad 34,46 12981/12982 Delhi Sarai Rohilla Udaipur City Chetak 23,54",,
12845/12846,"Bhubaneswar Yesvantpur 20,29 12983/12984 Ajmer Chandigarh Garib Rath 23,27,80",,
12847/12848,Howrah Digha AC Duronto 87 12985/12986 Jaipur Delhi Sarai Rohilla AC Double Decker 23,,
12849/12850,"Bilaspur Pune 5,44 12987/12988 Sealdah Ajmer 23,65",,
12851/12852,"Bilaspur Chennai 42,8 12989/12990 Dadar Ajmer 11,23",,
12853/12854,Durg Bhopal Amarkantak 43 12991/12992 Udaipur City Jaipur 54,,
12855/12856,"Bilaspur Nagpur Intercity 5 12993/12994 Gandhidham Puri 34,78",,
12857/12858,"Howrah Digha Tamralipta 87 12995/12996 Bandra (T) Udaipur City 3,54",,
12859/12860,Mumbai CST Howrah Gitanjali 5 12997/12998 Tirunelveli Hapa 26,,
12861/12862,Visakhapatnam Nizamuddin Dakshin Link 42 13005/13006 Howrah Amritsar Mail 12,,
12863/12864,"Howrah Yesvantpur 29 13007/13008 Howrah Sriganganagar Udyan Abha Toofan 1,39",,
12865/12866,Howrah Purulia Lalmati 87 13009/13010 Howrah Dehradun Doon 12,,
12867/12868,"Howrah Puducherry 7, 21 13011/13012 Howrah Malda Town Intercity 14",,
13013/13014,"Bardhaman Rampurhat 14 13417/13418 Digha Malda Town 14,87",,
13015/13016,Howrah Bolpur Kavi Guru 14 13419/13420 Bhagalpur Muzaffarpur Jan Sewa 50,,
13017/13018,Howrah Azimganj Ganadevta 14 13421/13422 Nabadwipdham Malda Town 14,,
13019/13020,"Howrah Kathgodam Bagh 22,37 13423/13424 Bhagalpur Ajmer 24,72",,
